Position,2013 Salary,2014 Salary,2015 Salary,2016 Salary,2017 Salary,2018 Salary,2019 Salary,2020 Salary,2021 Salary,2022 Salary,Total Salary,% Of Total
QB,"$350,055,338 ","$389,651,141 ","$474,470,104 ","$532,245,385 ","$508,635,789 ","$643,233,797 ","$655,900,992 ","$705,689,850 ","$627,291,638 ","$717,646,929 ","$5,604,820,963 ",3.35%
WR,"$351,536,282 ","$388,564,187 ","$452,151,994 ","$429,516,170 ","$522,070,506 ","$566,373,578 ","$623,590,472 ","$619,400,676 ","$612,929,804 ","$885,860,931 ","$5,451,994,600 ",10.24%
CB,"$320,755,125 ","$362,089,920 ","$389,724,620 ","$459,391,725 ","$460,970,184 ","$493,619,272 ","$516,686,895 ","$605,209,792 ","$558,243,783 ","$632,834,360 ","$4,799,525,676 ",9.37%
DE,"$312,496,015 ","$334,881,648 ","$354,691,612 ","$367,940,425 ","$426,841,523 ","$439,211,072 ","$555,113,921 ","$579,334,701 ","$499,027,662 ","$520,099,227 ","$4,389,637,806 ",7.51%
OLB,"$299,356,960 ","$305,525,101 ","$359,902,166 ","$361,074,231 ","$389,741,520 ","$384,487,788 ","$347,201,179 ","$358,727,933 ","$435,436,730 ","$468,683,405 ","$3,710,137,013 ",0.45%
DT,"$214,906,840 ","$234,842,797 ","$303,581,504 ","$320,317,810 ","$344,756,809 ","$380,640,461 ","$366,359,333 ","$471,865,295 ","$413,526,514 ","$465,652,197 ","$3,516,449,560 ",3.31%
G,"$241,313,326 ","$210,259,540 ","$227,784,809 ","$236,342,308 ","$299,411,143 ","$340,554,206 ","$357,969,286 ","$340,637,777 ","$292,850,178 ","$312,831,943 ","$2,859,954,516 ",6.10%
LT,"$171,469,259 ","$199,414,268 ","$195,565,756 ","$242,378,938 ","$229,034,227 ","$251,708,271 ","$226,874,498 ","$402,837,489 ","$355,574,914 ","$286,930,862 ","$2,561,788,482 ",4.28%
TE,"$149,829,790 ","$166,792,106 ","$189,061,805 ","$222,621,046 ","$222,979,963 ","$230,878,642 ","$236,526,328 ","$256,022,665 ","$287,155,169 ","$283,238,993 ","$2,245,106,507 ",1.34%
ILB,"$146,896,411 ","$185,782,837 ","$173,527,758 ","$176,613,517 ","$163,583,522 ","$206,550,070 ","$251,193,127 ","$313,645,476 ","$221,036,462 ","$165,643,251 ","$2,004,472,431 ",0.36%
RB,"$151,261,426 ","$156,281,763 ","$179,690,935 ","$162,954,270 ","$198,510,593 ","$202,681,173 ","$156,959,195 ","$273,084,006 ","$199,977,475 ","$217,444,595 ","$1,898,845,431 ",5.47%
C,"$103,781,382 ","$117,026,581 ","$108,444,360 ","$124,327,440 ","$139,063,355 ","$193,933,183 ","$207,472,033 ","$209,151,206 ","$178,055,175 ","$188,199,658 ","$1,569,454,373 ",7.92%
FS,"$71,980,090 ","$139,165,025 ","$144,419,903 ","$198,746,642 ","$161,555,189 ","$142,305,141 ","$179,957,113 ","$203,638,839 ","$170,361,085 ","$136,859,431 ","$1,548,988,458 ",0.96%
RT,"$104,213,955 ","$95,374,409 ","$116,824,619 ","$143,253,237 ","$150,246,375 ","$144,877,125 ","$194,660,097 ","$205,604,236 ","$239,529,274 ","$149,030,245 ","$1,543,613,572 ",11.96%
SS,"$112,791,880 ","$91,705,739 ","$102,207,378 ","$104,417,894 ","$165,948,862 ","$159,883,332 ","$138,256,209 ","$145,296,910 ","$109,471,424 ","$85,216,958 ","$1,215,196,586 ",4.05%
K,"$46,045,000 ","$50,978,841 ","$55,374,413 ","$52,738,324 ","$53,575,000 ","$69,697,546 ","$76,682,754 ","$74,260,964 ","$60,573,968 ","$88,534,850 ","$628,461,660 ",3.29%
S,"$46,623,000 ","$26,207,965 ","$2,318,688 ","$6,507,379 ","$27,255,699 ","$26,944,616 ","$45,129,989 ","$25,800,211 ","$63,575,165 ","$203,903,403 ","$474,266,115 ",1.01%
P,"$42,068,500 ","$42,483,729 ","$44,013,762 ","$52,694,956 ","$50,300,000 ","$43,477,000 ","$41,193,373 ","$45,778,329 ","$47,072,500 ","$40,964,891 ","$450,047,040 ",2.59%
FB,"$24,774,506 ","$23,448,124 ","$20,800,843 ","$15,142,654 ","$19,726,250 ","$16,455,000 ","$18,719,525 ","$24,426,033 ","$17,287,500 ","$28,782,500 ","$209,562,935 ",4.79%
LS,"$23,609,000 ","$14,713,458 ","$21,511,687 ","$16,678,714 ","$17,850,000 ","$18,620,000 ","$19,672,295 ","$8,166,580 ","$14,876,202 ","$10,827,500 ","$166,525,436 ",11.64%
,,,,,,,,,,,,
